id,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm121879,MOVIE,1992,PG,123,['drama'],['US'],0.0,tt0105265,7.2,59086.0,16.558,7.1
tm44402,MOVIE,1999,R,127,"['drama', 'european']","['US', 'DE']",0.0,tt0172493,7.3,180532.0,17.613,7.5
ts22489,SHOW,1995,TV-PG,22,"['scifi', 'fantasy', 'horror', 'thriller', 'family', 'music']","['CA', 'US']",4.0,tt0111987,7.6,13361.0,88.924,8.0
ts25252,SHOW,1998,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],7.0,tt4834194,7.2,20888.0,75.438,7.3
ts21034,SHOW,2000,TV-14,25,"['action', 'comedy', 'scifi', 'animation', 'drama', 'fantasy', 'romance']",['JP'],9.0,tt0290223,7.9,15823.0,149.742,8.6
tm53419,MOVIE,1999,R,162,"['drama', 'sport']",['US'],0.0,tt0146838,6.9,118479.0,13.825,6.8
tm189764,MOVIE,1993,R,97,"['drama', 'crime', 'thriller']",['US'],0.0,tt0107554,7.5,57399.0,15.347,7.5
tm9323,MOVIE,1995,R,104,"['thriller', 'action', 'crime', 'western', 'european']",['US'],0.0,tt0112851,7.1,183638.0,19.718,6.9
tm46173,MOVIE,1998,PG-13,136,"['action', 'thriller', 'western', 'comedy', 'romance']",['US'],0.0,tt0120746,6.8,181306.0,25.426,6.5
tm19673,MOVIE,2000,R,165,"['drama', 'action', 'history', 'war']","['DE', 'US']",0.0,tt0187393,7.2,270231.0,20.438,7.1
tm24877,MOVIE,2000,R,93,['comedy'],['US'],0.0,tt0215129,6.5,167670.0,16.989,6.2
tm189433,MOVIE,1993,PG,112,"['drama', 'family']","['US', 'FR']",0.0,tt0106965,6.0,75244.0,31.688,6.2
tm1822,MOVIE,1994,PG,93,"['action', 'comedy', 'family', 'sport']","['US', 'JP']",0.0,tt15327306,4.5,9208.0,9.773,5.5
tm187791,MOVIE,1993,R,128,"['drama', 'thriller', 'action', 'crime']",['US'],0.0,tt0107206,7.2,101939.0,15.02,7.0
tm19494,MOVIE,2000,PG-13,118,"['comedy', 'sport']",['US'],0.0,tt0191397,6.6,64087.0,13.465,6.6
tm10739,MOVIE,1995,R,97,"['scifi', 'thriller', 'action', 'drama']","['US', 'CA']",0.0,tt0113481,5.6,71062.0,11.747,5.7
tm113576,MOVIE,1994,PG,115,"['drama', 'family', 'romance']",['US'],0.0,tt0110367,7.3,57621.0,17.027,7.3
tm191387,MOVIE,1997,PG-13,89,"['thriller', 'horror', 'action']","['PE', 'US', 'BR']",0.0,tt0118615,4.8,103459.0,31.57,5.1
tm6859,MOVIE,1991,PG,103,"['comedy', 'drama', 'family', 'romance', 'european']",['US'],0.0,tt0102492,6.9,79800.0,21.381,7.4
tm186589,MOVIE,1993,R,112,"['thriller', 'action', 'animation']","['IT', 'US', 'FR']",0.0,tt0106582,6.5,128179.0,20.292,6.4
tm191374,MOVIE,1997,R,101,"['horror', 'thriller']",['US'],0.0,tt0119345,5.7,142696.0,18.102,5.9
tm8446,MOVIE,1991,PG,88,"['scifi', 'action', 'comedy', 'family']","['US', 'HK']",0.0,tt0103060,6.0,55499.0,16.459,6.1
ts8570,SHOW,1992,TV-G,28,['family'],['US'],14.0,tt0144701,3.8,9955.0,46.955,5.0
tm21596,MOVIE,2000,R,112,"['scifi', 'action', 'horror', 'thriller']","['DE', 'US']",0.0,tt0164052,5.8,130099.0,24.125,5.9
tm48430,MOVIE,1998,PG-13,133,"['thriller', 'scifi', 'action']",['US'],0.0,tt0120685,5.4,191722.0,38.87,5.6
tm190835,MOVIE,1997,Unknown,87,"['scifi', 'action', 'drama', 'fantasy', 'animation']",['JP'],0.0,tt0169858,8.0,51938.0,36.756,8.4
tm192199,MOVIE,1997,PG-13,96,"['fantasy', 'horror', 'scifi', 'thriller', 'action', 'drama']",['US'],0.0,tt0120177,5.2,67761.0,15.124,5.3
tm184205,MOVIE,1993,PG,95,"['comedy', 'family']",['US'],0.0,tt0106701,5.6,60779.0,24.079,5.8
tm12499,MOVIE,1995,PG-13,114,"['thriller', 'action', 'crime', 'drama']",['US'],0.0,tt0113957,5.9,66127.0,11.838,6.0
tm192431,MOVIE,1997,R,107,"['thriller', 'drama', 'action', 'crime', 'european']",['US'],0.0,tt0962637,6.2,64625.0,11.387,6.1
tm56033,MOVIE,1998,R,94,"['thriller', 'european', 'crime', 'drama']","['FR', 'IE', 'GB', 'DE']",0.0,tt0159382,7.0,21382.0,7.89,6.8
tm190486,MOVIE,1993,PG,96,"['fantasy', 'scifi', 'action', 'comedy', 'family']","['HK', 'US']",0.0,tt0108308,4.7,33128.0,15.356,5.4
tm61103,MOVIE,1999,R,116,"['drama', 'crime', 'thriller']","['US', 'DE']",0.0,tt0144214,6.4,58726.0,11.976,6.4
tm117488,MOVIE,1994,PG,107,"['drama', 'family', 'romance', 'sport', 'action']",['US'],0.0,tt0110657,4.5,30138.0,20.882,5.3
tm55732,MOVIE,1998,R,100,"['thriller', 'horror']",['US'],0.0,tt0130018,4.7,73269.0,17.756,5.3
tm191431,MOVIE,1997,R,93,"['scifi', 'action', 'comedy', 'thriller']","['US', 'HK']",0.0,tt0119013,4.7,34127.0,12.697,5.1
tm17721,MOVIE,2000,R,110,"['thriller', 'crime', 'drama', 'european']",['US'],0.0,tt0164212,6.5,25432.0,11.459,6.1
ts20939,SHOW,1996,TV-PG,21,"['drama', 'comedy', 'family']",['US'],6.0,tt0115275,5.7,3713.0,7.483,7.3
ts21693,SHOW,1994,TV-PG,22,"['comedy', 'drama', 'family']",['US'],6.0,tt0108927,6.2,12535.0,12.029,7.6
ts22286,SHOW,1998,TV-Y7,25,"['scifi', 'comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'action']",['JP'],4.0,tt0221735,8.0,4936.0,53.714,8.7
tm190811,MOVIE,1993,PG-13,115,"['western', 'drama', 'history']",['US'],0.0,tt0107004,6.5,11506.0,10.551,6.3
tm107659,MOVIE,1996,PG-13,126,"['romance', 'comedy', 'drama']",['US'],0.0,tt0117057,6.6,19829.0,8.391,6.7
ts21581,SHOW,2000,TV-PG,21,"['comedy', 'drama']",['US'],8.0,tt0247102,7.2,4482.0,17.929,7.6
tm7073,MOVIE,1991,G,91,"['action', 'scifi']",['US'],0.0,tt0102227,4.5,3178.0,8.52,5.1
tm63514,MOVIE,1998,PG-13,87,"['drama', 'documentation', 'war']",['US'],0.0,tt0174852,7.9,4247.0,4.869,7.8
ts20918,SHOW,1999,TV-PG,19,['comedy'],['US'],5.0,tt0200353,6.8,2346.0,9.733,8.0
tm10811,MOVIE,1995,R,105,"['romance', 'drama']",['US'],0.0,tt0113280,6.8,4921.0,5.31,6.8
tm188970,MOVIE,1993,Unknown,74,"['comedy', 'documentation']",['GB'],0.0,tt0152183,8.5,3085.0,3.88,8.1
tm188606,MOVIE,1993,Unknown,124,"['drama', 'european']","['GH', 'GB', 'US', 'BF', 'DE']",0.0,tt0108041,7.0,678.0,2.783,6.5
ts18465,SHOW,1993,TV-G,21,[],['GB'],8.0,tt0962853,7.1,39.0,0.947,8.3
tm64817,MOVIE,1998,G,75,"['comedy', 'documentation']",['US'],0.0,tt0500140,7.9,5834.0,5.834,7.6
tm320211,MOVIE,1994,Unknown,63,['documentation'],['GB'],0.0,tt6051792,6.4,589.0,2.809,6.4
tm189171,MOVIE,1993,R,124,"['drama', 'music', 'romance']","['AR', 'ES']",0.0,tt0108291,6.7,1564.0,3.259,6.3
tm67635,MOVIE,1998,G,185,"['drama', 'romance', 'comedy']",['IN'],0.0,tt0172684,7.6,51640.0,12.564,7.7
ts22080,SHOW,1999,TV-Y7,9,"['comedy', 'family', 'action', 'animation', 'european']",['FR'],7.0,tt0213363,7.4,4185.0,26.074,7.5
ts22039,SHOW,1998,TV-MA,25,['comedy'],['FR'],4.0,tt0173554,7.4,1703.0,11.362,7.6
tm41525,MOVIE,1999,R,120,"['drama', 'comedy', 'crime']",['MX'],0.0,tt0221344,7.8,5943.0,11.526,7.9
tm7951,MOVIE,1991,PG,30,"['comedy', 'documentation']",['US'],0.0,tt0294967,5.9,195.0,1.339,7.0
ts21684,SHOW,1994,TV-MA,47,"['drama', 'romance', 'comedy']",['AU'],7.0,tt0108800,7.8,3106.0,16.211,7.3
tm55100,MOVIE,1998,PG-13,163,"['drama', 'romance']",['IN'],0.0,tt0164538,7.5,28409.0,6.381,6.8
tm204173,MOVIE,1993,Unknown,153,"['romance', 'comedy', 'drama']",['IN'],0.0,tt0106206,4.7,320.0,1.082,4.7
tm191614,MOVIE,1997,Unknown,136,"['drama', 'romance', 'comedy', 'history']","['EG', 'FR']",0.0,tt0119629,7.1,2825.0,3.928,6.6
tm8859,MOVIE,1995,G,153,['comedy'],['IN'],0.0,tt0114031,4.0,1678.0,2.566,4.8
tm424630,MOVIE,1991,Unknown,100,"['drama', 'sport']",['US'],0.0,tt0103123,7.2,248.0,3.255,5.1
tm12876,MOVIE,1995,Unknown,141,"['romance', 'drama']",['IN'],0.0,tt0112553,8.1,12512.0,3.771,7.2
tm52083,MOVIE,1998,PG-13,105,"['romance', 'war', 'comedy', 'drama', 'european']","['BE', 'FR', 'NO', 'LB']",0.0,tt0157183,7.6,4175.0,3.996,7.4
tm9898,MOVIE,1995,G,165,"['drama', 'comedy', 'romance', 'action']",['IN'],0.0,tt0140399,7.6,3056.0,5.577,6.9
tm326102,MOVIE,1998,Unknown,160,"['drama', 'music', 'family']",['IN'],0.0,tt0286907,4.8,129.0,1.221,6.0
tm12482,MOVIE,1995,Unknown,172,"['action', 'drama', 'romance', 'crime']",['IN'],0.0,tt0114231,5.4,3901.0,4.396,5.0
tm128925,MOVIE,1992,G,171,"['comedy', 'fantasy', 'drama', 'crime']",['IN'],0.0,tt0126234,6.5,6199.0,5.065,6.6
tm52871,MOVIE,1998,Unknown,156,"['thriller', 'action', 'drama', 'romance']",['IN'],0.0,tt0211634,6.2,3025.0,2.471,5.7
ts28516,SHOW,2000,TV-MA,40,"['crime', 'drama']",['AR'],1.0,tt0289649,9.0,2326.0,6.971,8.8
tm62385,MOVIE,1999,G,177,"['fantasy', 'romance', 'family', 'drama']",['IN'],0.0,tt0216817,6.2,8454.0,4.91,6.0
tm184502,MOVIE,1994,G,158,"['comedy', 'drama', 'music', 'romance']",['IN'],0.0,tt0110222,7.6,18224.0,5.028,6.6
tm7810,MOVIE,1991,Unknown,100,"['drama', 'crime', 'thriller']",['US'],0.0,tt0102537,5.5,341.0,1.603,6.0
tm27601,MOVIE,2000,PG-13,160,"['comedy', 'romance', 'drama']",['IN'],0.0,tt0222270,6.1,7556.0,6.39,6.6
tm47530,MOVIE,1998,Unknown,175,"['drama', 'romance', 'comedy']",['IN'],0.0,tt0151121,6.4,3567.0,2.862,6.5
tm105716,MOVIE,1996,G,155,"['drama', 'romance']",['IN'],0.0,tt0172234,5.5,2837.0,2.947,7.0
